CustomerID,BirthDate,Age,Gender,ZIP,SocioEconomicIndex,PD_Rating,CreditProductCode,IsBankCard,CardStatus,DebtHistory_1_Date,DebtHistory_1_Amount,DebtHistory_1_ReturnReason,DebtHistory_1_CollectionChannel,DebtHistory_1_CollectionChannelCode,DebtHistory_1_CollectionDays,DebtHistory_2_Date,DebtHistory_2_Amount,DebtHistory_2_ReturnReason,DebtHistory_2_CollectionChannel,DebtHistory_2_CollectionChannelCode,DebtHistory_2_CollectionDays,DebtHistory_3_Date,DebtHistory_3_Amount,DebtHistory_3_ReturnReason,DebtHistory_3_CollectionChannel,DebtHistory_3_CollectionChannelCode,DebtHistory_3_CollectionDays,DebtHistory_4_Date,DebtHistory_4_Amount,DebtHistory_4_ReturnReason,DebtHistory_4_CollectionChannel,DebtHistory_4_CollectionChannelCode,DebtHistory_4_CollectionDays,DebtHistory_5_Date,DebtHistory_5_Amount,DebtHistory_5_ReturnReason,DebtHistory_5_CollectionChannel,DebtHistory_5_CollectionChannelCode,DebtHistory_5_CollectionDays,Alert_1_Code,Alert_1_Date,Alert_2_Code,Alert_2_Date,Alert_3_Code,Alert_3_Date,Alert_4_Code,Alert_4_Date,Alert_5_Code,Alert_5_Date
300000,23/09/1992,33,Other,43867,9,High,1,0,Expired,26/03/2015,4967.66,CardExpired,CallCenter,1,47,10/05/2015,699.6,CardExpired,Branch,1,53,24/06/2015,5987.62,TechnicalError,CallCenter,3,64,,,,,,,,,,,,,,,,,,,,,108,14/10/2024
300001,27/09/1986,40,Female,46425,4,Low,1,1,Expired,31/01/2017,9483.5,InsufficientFunds,CallCenter,2,62,17/03/2017,2248.93,CardExpired,App,2,147,01/05/2017,8888.62,TechnicalError,CallCenter,2,17,15/06/2017,4288.92,CardExpired,App,1,169,,,,,,,137,09/12/2025,130,11/01/2026,,,120,03/08/2025,,
300002,09/01/1980,45,Other,70661,5,High,1,1,Active,29/04/2017,8044.35,TechnicalError,Branch,1,120,13/06/2017,6631.74,TechnicalError,Branch,2,178,28/07/2017,1382.84,CardExpired,CallCenter,2,9,11/09/2017,1110.4,InsufficientFunds,App,2,60,,,,,,,,,,,117,30/10/2024,180,14/11/2024,122,20/08/2025
300003,06/09/1990,35,Female,26804,3,Low,3,1,Expired,08/05/2018,8458.88,InsufficientFunds,Branch,2,45,22/06/2018,2359.58,CardExpired,CallCenter,1,63,06/08/2018,8707.95,CardExpired,App,2,37,,,,,,,,,,,,,118,02/07/2024,164,09/01/2025,,,,,,
300004,27/05/1980,46,Male,49334,9,Medium,3,0,Expired,07/07/2020,8737.62,InsufficientFunds,Branch,2,2,21/08/2020,472.17,InsufficientFunds,CallCenter,2,82,05/10/2020,149.22,TechnicalError,Branch,3,27,,,,,,,,,,,,,,,159,25/02/2026,185,04/04/2026,,,111,14/07/2025
300005,05/01/1947,78,Male,36486,3,High,1,0,Expired,20/10/2024,4288.45,InsufficientFunds,Branch,3,55,,,,,,,,,,,,,,,,,,,,,,,,,106,30/03/2025,129,25/01/2025,,,,,,
300006,14/04/1996,30,Other,88252,3,High,1,0,Blocked,22/06/2021,7210.89,CardExpired,Branch,2,128,06/08/2021,3340.93,TechnicalError,Branch,2,112,20/09/2021,1529.33,CardExpired,CallCenter,3,99,,,,,,,,,,,,,,,127,27/06/2025,,,110,02/07/2025,130,13/06/2025
300007,07/06/1990,35,Female,27022,9,Low,1,1,Expired,26/06/2018,5209.32,TechnicalError,CallCenter,3,49,10/08/2018,7294.23,InsufficientFunds,CallCenter,1,125,24/09/2018,5911.52,CardExpired,CallCenter,2,76,,,,,,,,,,,,,138,24/11/2024,152,28/12/2024,171,04/04/2024,183,29/11/2024,,
300008,27/07/1943,82,Other,50014,2,Low,3,0,Expired,14/04/2019,4765.23,CardExpired,App,1,77,29/05/2019,1305.29,TechnicalError,Branch,3,99,13/07/2019,9037.8,TechnicalError,App,1,16,27/08/2019,5054.92,CardExpired,CallCenter,2,37,11/10/2019,8685.79,InsufficientFunds,CallCenter,2,134,,,,,,,159,09/12/2024,,
300009,01/02/1981,44,Female,93679,7,Medium,4,0,Expired,06/03/2024,1215.2,TechnicalError,App,2,22,20/04/2024,3149.72,CardExpired,Branch,3,47,,,,,,,,,,,,,,,,,,,,,,,166,28/02/2024,135,15/05/2024,,
300010,22/03/1999,26,Other,58506,7,High,1,1,Active,24/08/2020,7124.66,CardExpired,Branch,1,115,08/10/2020,2058.9,TechnicalError,App,1,70,22/11/2020,3998.22,InsufficientFunds,App,3,162,06/01/2021,9645.45,CardExpired,App,3,106,20/02/2021,3030.24,InsufficientFunds,CallCenter,2,65,,,,,,,,,,
